what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1269659134994
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1269659134995
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1269659138335
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1269659139862
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1269659145598
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAutomatically",1269659148144
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1269659151589
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1269659155622
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659169005
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659173354
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1269659183382
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659184992
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1269659186774
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1269659225511
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659225574
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1269659231628
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659232051
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659233446
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1269659241832
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1269659242267
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659243229
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269659259300
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659259353
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1269659259508
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269659260453
