what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659261093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659456524
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659503085
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1269659504735
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659504745
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659520692
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659763888
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269659781880
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1269659789749
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1269659790772
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1269659792007
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1269659792824
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1269659793871
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1269659801299
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1269659807542
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1269659816890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659838625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1269659867558
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659867592
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659875320
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659882298
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659883057
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659883735
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269659883907
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269660037020
